"glad
","zadowolony
"
"south-of-england
","południowa anglia
"
"lies
","kłamstwa
"
"soldierly
","żołnierski
"
"herald
","zwiastować
"
"emir
","emir
"
"scalding
","oparzenie
"
"conflagration
","pożar
"
"havre
","Havre
"
"over-application
","nadmierna aplikacja
"
"gay
","wesoły
"
"stead
","zamiast
"
"solicitous
","zatroskany
"
"acquaintancehow
","znajomość
"
"sincere
","szczery
"
"resolved
","zdecydowany
"
"improvement
","poprawa
"
"cipher
","szyfr
"
"eminence
","eminencja
"
"curates
","wikary
"
"mealshe
","posiłki
"
"calmer
","spokojniejszy
"
"prolonged
","przedłużony
"
"disposition
","usposobienie
"
"surprised
","zaskoczony
"
"degree
","stopień
"
"effortless
","łatwy
"
"smarter
","mądrzejszy
"
"scowling
","nachmurzony
"
"herding
","pasterstwo
"
"upward
","w górę
"
"you've
","masz
"
"well-conducted
","dobrze prowadzony
"
"amidst
","wśród
"
"intrude
","niepokoić
"
"entered
","weszła
"
"just
","właśnie
"
"pocket-handkerchief
","chusteczka do nosa
"
"valets
","lokaje
"
"succour
","sukurs
"
"disagree
","nie zgadzać się
"
"breathless
","zdyszany
"
"tropical
","tropikalny
"
"ensemble
","ensemble
"
"russia
","Rosja
"
"gentlemans
","panowie
"
"lamb
","owieczka
"
"martial
","wojenny
"
"mocked
","kpił
"
"dignified
","godny
"
"ears
","uszy
"
"rsvp
","rsvp
"
"firecracker
","petarda
"
"china
","Chiny
"
"science
","nauka
"
"nonnette
","nonnette
"
"tenderer
","oferent
"
"shambles
","pobojowisko
"
"bulgarian
","bułgarski
"
"major
","poważny
"
"midsummer
","połowa lata
"
"blond
","blond
"
"fright
","strach
"
"silently
","bezgłośnie
"
"haloed
","haloed
"
"lexicon
","leksykon
"
"horseback
","grzbiet koński
"
"wilt
","więdnąć
"
"fleshly
","cielesne
"
"decreed
","dekretem
"
"confining
","ograniczający
"
"nephew
","bratanek
"
"lodging
","kwatera
"
"superintendent
","superintendent
"
"peri
","peri
"
"lead
","prowadzić
"
"frankfurt
","Frankfurt
"
"lighting
","oświetlenie
"
"registry
","rejestr
"
"scorches
","przypalenia
"
"luxuries
","luksusy
"
"untasted
","niesmaczne
"
"serenity
","spokój
"
"merrily
","wesoło
"
"washy
","cienki
"
"resisted
","stawiał opór
"
"manperhaps
","być może
"
"henrys
","henrys
"
"defied
","przeciwstawiony
"
"except
","z wyjątkiem
"
"research
","Badania
"
"forgets
","zapomina
"
"varens
","varens
"
"evade
","uchylać się
"
"practicalthis
","praktyczne
"
"screened
","ekranowane
"
"springer's
","Springer
"
"dame
","dama
"
"whine
","skomleć
"
"folding
","składanie
"
"speeches
","przemówienia
"
"bodies
","ciała
"
"rolling
","walcowanie
"
"janeand
","janeand
"
"remercie
","remercie
"
"praag-sigaar
","praag-sigaar
"
"narrow-minded
","ograniczony umysłowo
"
"forsook
","zapomnieć
"
"xvii
","xvii
"
"dives
","nurkowania
"
"smote
","uderzyć
"
"mebut
","mebut
"
"como
","como
"
"lifewhere
","życie gdzieś
"
"lotus-flowers
","kwiaty lotosu
"
"enviable
","godny pozazdroszczenia
"
"bep
","bep
"
"mindsentimentstastes
","mindsentimentstastes
"
"machine
","maszyna
"
"sport
","sport
"
"brooding
","wylęganie się
"
"uncomely
","nieładny
"
"supply
","Dostawa
"
"heleni
","heleni
"
"wolfs
","wilki
"
"confession
","wyznanie
"
"sociable
","towarzyski
"
"basking
","wygrzewanie się
"
"devotions
","modlitwy
"
"chore
","robota
"
"public
","publiczny
"
"exclamations
","okrzyki
"
"somebody
","ktoś
"
"seas
","morza
"
"ejaculated
","wytrysk
"
"moralists
","moraliści
"
"improves
","poprawia się
"
"eloquence
","elokwencja
"
"stoodthe
","stanął
"
"unconditionally
","bezwarunkowo
"
"worldfrom
","worldfrom
"
"nobleness
","szlachetność
"
"depthsthe
","głębokość
"
"imagines
","wyobraża sobie
"
"graces
","łaski
"
"well-rubbed
","dobrze przetarty
"
"silberberg
","Silberberg
"
"delivered
","dostarczone
"
"barricade
","barykada
"
"acquaintances
","znajomi
"
"friction
","tarcie
"
"dismayed
","skonsternowany
"
"clasping
","ściskanie
"
"ingenuity
","pomysłowość
"
"twist
","skręcać
"
"rafters
","krokwie
"
"resist
","opierać się
"
"apron
","Fartuch
"
"successive
","kolejny
"
"companyfor
","Companyfor
"
"wrecked
","zniszczony
"
"pagan
","pogański
"
"vows
","śluby
"
"reads
","czyta
"
"amounts
","ilości
"
"earthtold
","Earthtold
"
"imputation
","przypisanie
"
"consider
","rozważać
"
"backhigher
","wstecz
"
"golden
","złoty
"
"rivalries
","rywalizacje
"
"landscapes
","krajobrazy
"
"fails
","zawodzi
"
"cheerily
","wesoło
"
"coolfarewell
","coolfarewell
"
"wereshe
","wereshe
"
"hemmed
","osaczony
"
"half-a-slice
","pół plasterka
"
"mindmy
","uważaj
"
"thirty
","trzydzieści
"
"youreward
","youreward
"
"fiercest
","zaciekły
"
"hiatus
","hiatus
"
"self-centered
","egocentryczny
"
"i've
","ja mam
"
"meditating
","medytować
"
"squares
","kwadraty
"
"russet
","rudy
"
"disguised
","przebrany
"
"eel
","węgorz
"
"deliveries
","dostawy
"
"operating
","operacyjny
"
"closing
","zamknięcie
"
"demandé
","requesté
"
"struck
","powalony
"
"rushed
","pochopny
"
"drew
","rysował
"
"omitted
","pominięty
"
"attributed
","przypisane
"
"arts
","sztuka
"
"elected
","wybrany
"
"strolls
","spacery
"
"avert
","zapobiec
"
"oiled
","naoliwione
"
"thumbs
","kciuki
"
"sleeping
","spanie
"
"flies
","muchy
"
"mei
","mei
"
"wayward
","nieobliczalny
"
"canzonette
","canzonette
"
"belowor
","poniżej lub
"
"shortly
","wkrótce
"
"abandonedmy
","opuszczony
"
"comfortably
","wygodnie
"
"intemperate
","bez umiaru
"
"couches
","kanapy
"
"dispensary
","ambulatorium
"
"arousing
","podniecający
"
"ranks
","szeregi
"
"all-out
","wszyscy won
"
"naples
","Neapol
"
"battalion
","batalion
"
"has
","ma
"
"taste
","smak
"
"correct
","poprawny
"
"benches
","ławki
"
"casements
","skrzydła
"
"eveningi
","wieczór
"
"stamped
","wytłoczony
"
"sweaters
","swetry
"
"fascist
","faszystowski
"
"chère
","chère
"
"onelet
","onelet
"
"upbringing
","wychowanie
"
"horizon
","horyzont
"
"kindergarten
","przedszkole
"
"rough
","szorstki
"
"transforming
","transformatorowy
"
"illuminated
","oświetlony
"
"cloth
","płótno
"
"support
","wsparcie
"
"highly
","wysoko
"
"brandenburg
","brandenburg
"
"strangers
","nieznajomi
"
"serried
","zwarty
"
"discourse
","rozprawiać
"
"asked
","zapytał
"
"allow
","dopuszczać
"
"archangel
","archanioł
"
"homesickness
","nostalgia
"
"clumsily
","niezgrabnie
"
"anyone
","ktoś
"
"night-gown
","koszula nocna
"
"hurtwhat
","boli
"
"grit
","piasek
"
"chestnut-tree
","kasztanowiec
"
"courseand
","Oczywiście i
"
"who'll
","kto będzie
"
"hastens
","przyspiesza
"
"apt
","trafny
"
"suggested
","zasugerował
"
"vigorously
","energicznie
"
"pleasurean
","przyjemność
"
"resistless
","bierny
"
"sanne
","sanne
"
"bawls
","wrzeszczy
"
"trample
","deptać
"
"invalid
","nieważny
"
"task
","zadanie
"
"stoicism
","stoicyzm
"
"villainy
","łajdactwo
"
"gale
","wichura
"
"haze
","mgła
"
"gritting
","zgrzytanie
"
"dye
","barwnik
"
"facile
","łatwy
"
"wound
","rana
"
"idiotic
","idiotyczny
"
"coarse-minded
","grubiański
"
"fabrics
","tekstylia
"
"hammered
","wbity
"
"grumpy
","gderliwy
"
"girlfriend
","dziewczyna
"
"eau
","woda
"
"cracks
","pęknięcia
"
"terminated
","zakończony
"
"belle
","piękność
"
"excrescencethat
","excrescencethat
"
"crimson
","karmazynowy
"
"union
","unia
"
"differencefor
","różnica dla
"
"sacrifice
","poświęcać się
"
"mastering
","opanowanie
"
"regained
","odzyskane
"
"wade
","przebrnąć
"
"cell
","komórka
"
"lines
","linie
"
"difference
","różnica
"
"wasted
","zmarnowany
"
"nervous
","nerwowy
"
"details
","Detale
"
"collected
","Zebrane
"
"well-known
","dobrze znane
"
"exams
","egzaminy
"
"smoked
","wędzony
"
"master-wave
","master-wave
"
"blanks
","puste miejsca
"
"withinexpresses
","withinexpresses
"
"bankrupt
","upadły
"
"mother
","matka
"
"despised
","pogardzany
"
"intervals
","odstępach czasu
"
"enounced
","ogłosił
"
"attentive
","uważny
"
"burns
","oparzenia
"
"glasses
","okulary
"
"itwhere
","itwhere
"
"assez
","assez
"
"ghoul
","wampir
"
"eighth
","ósma
"
"reconciling
","pojednanie
"
"rev
","obrót silnika
"
"hummed
","nucił
"
"smartest
","najmądrzejszy
"
"fillip
","bodziec
"
"aired
","wyemitowany
"
"instrumentnothing
","instrumentnothing
"
